,Location,Scene,Text,Speaker,Season
29786,The apartment,,This looks terrible. She she’s gonna know.,Howard,8
29787,The apartment,,You’re good at revenge how do we get him back?,Leonard,10
29788,The apartment,,It’s my pre-packed disaster evacuation bag. Recommended by the department of homeland security. And Sarah Connor.,Sheldon,2
29789,Penny’s apartment,,Really?,Penny,8
29790,Amy’s apartment,,No uh no I’m sorry. Who’s talking about Leonard and Alex?,Sheldon,6
29791,The Cheesecake Factory,,Excuse me. I happen to be very comfortable with my masculinity.,Howard,7
29792,Bernadette’s car,,Oh who’s the real astronaut?,Sheldon,7
29793,The cafeteria,,Awful. They’re allowing me to move on from string theory but they made me a junior professor and are requiring me to teach a class.,Sheldon,8
29794,The paintball range,,,Howard,2
29795,Entering the lobby of the building,,Was that sarcasm?,Sheldon,2
29796,Howard’s mother’s house,,Sorry I left them in my turban.,Howard,7
29797,Penny’s flat," Penny is eating ice cream from the tub,",Wait did you say wait?,Leonard,1
29798,The apartment," Leonard is watching television, All the power goes off,",Oh that was wildly carcinogenic. Anyway it’s too bad you’re no longer entitled to the full benefits of my friendship because I happen to be extremely prepared for such an emergency. Please try not to see anything by this light. It’s not for you.,Sheldon,5
29799,The apartment," Raj is lighting candles, Indian music is playing,",Do you want to do this or not?,Raj,3
29800,Colonel Williams’ office,,I have to say I am happy with your OBGYN.,Howard,10
29801,The comic book store,,What do you mean?,Penny,3
29802,The apartment,,Hey uh so I’ve been thinking about it and I want to take the job.,Penny,10
29803,Penny’s apartment,,How? You can’t force someone to like you.,Penny,8
29804,On the train,,So aren’t you going to go talk to her?,Leonard,2
29805,The apartment," Sheldon is on his laptop,",That’s unacceptable. We’re supposed to be given written notice.,Sheldon,4
29806,The apartment,,Excuse me but if I did such a bad job then why do we already have orders?,Leonard,2
29807,The apartment,,Great. Now how are you going to settle it hmm? There is no way to determine the species of the cricket without examining it.,Raj,3
29808,Capital Comics,,And we’ll get to have fun interactions with our customers. Like this isn’t a library buy it or get out.,Sheldon,8
29809,Leonard’s bedroom," Morning,",I heard a woman laughing.,Sheldon,4
29810,Sheldon’s classroom,,Well that’s not your fault.,Leonard,8
29811,The university cafeteria,,Yeah I guessed that.,Leonard,4
29812,The stairwell,,Why?,Raj,10
29813,The university cafeteria,,I know what the anthropic principle is.,Leonard,6
29814,The lobby," Sheldon is listening to an iPod,",Oh I wish it were that simple. You see I don’t spend much time here and so I’ve never really chosen a place to sit.,Sheldon,1
29815,Leonard’s bedroom," Leonard is asleep,",Yes.,Leonard,3
29816,Sheldon and Leonard’s apartment,,It took you four years to get through High School?,Sheldon,1
29817,The same," Everyone is eating, Sheldon is perched on the back of Leonard’s chair, He keeps making moaning noises, Saying “Excuse me” he tries moving back to his spot, but the cushion is not there, He tries perching on the arm in various positions,",Get out.,Leonard,2
29818,Howard’s lab,,What do you mean?,Howard,6
29819,Sheldon’s office," Sheldon is writing on the whiteboard,",You are not my superior.,Raj,3
29820,Raj’s apartment," There is a knock on the door, He opens it,",Do you think I have a shot with Penny?,Raj,5
29821,The hallway,,How nice. Here are some topics that interest me quantum mechanics trains flags.,Sheldon,8
29822,The stairwell,,Run to India.,Penny,7
29823,Howard’s workshop,,I can’t do that.,Leonard,5
29824,The conference room,,No. That’s fine but there’s a difference between being tough and telling your friend her new pants look like a saggy diaper.,Penny,8
29825,Hotel corridor,,Who do you think carries Sheldon to bed when he falls asleep in front of the TV?,Leonard,9
29826,The comic book store,,I believe it is. The combination of the Star Trek reference and the play on words involving the double-meaning of the verb to go suggests that Leonard is humorously mocking your efforts in space plumbing.,Sheldon,2
29827,The cafeteria,,She’s enjoying living with you and she didn’t want it to end early.,Leonard,10
29828,Wil Wheaton’s house,,My fists are not up here because I’m milking a giant invisible cow. They’re up to beat an apology out of you.,Sheldon,6
29829,Leonard’s car,,There it is. What if someone asks?,Sheldon,4
29830,Penny’s apartment,,Really? Why would you say that?,Leonard,2
29831,Howard and Bernadette’s apartment," Howard is on the phone to Raj,",Hang on.,Raj,8
29832,The apartment," Sheldon and Leonard are playing three dimensional chess,",I guess we are. So what’s going on?,Leonard,5
29833,The building entrance lobby," The guys enter, Sheldon is dressed as a medieval monk, Howard is a court jester, Raj is a medieval gentleman and Leonard is a knight,",You’re wearing modern underwear?,Sheldon,2
29834,Sheldon’s bedroom," Sheldon is playing with his train set,",Would you two like to stay and play trains with me?,Sheldon,7
29835,The Cheesecake Factory,,Uh just wear something comfortable.,Penny,4
29836,The waiting room,,Okay listen when Leonard comes out he is not gonna feel great so please don’t give him a hard time.,Penny,8
29837,Penny’s apartment,,Okay help me out here. Why does he love this show so much?,Penny,6
29838,The apartment," Leonard is attaching something to a lamp,",No we turned our stereo down by sending a signal around the world via the internet.,Sheldon,1
29839,The apartment,,Are you gonna eat that whole pie?,Leonard,5
29840,The apartment,,I’ll give you a hint. We’re watching Daredevil.,Leonard,10
29841,Howard’s workshop,,Well the cleaning lady was there but she doesn’t like me. You need any help?,Raj,9
29842,The apartment,,So what’s the problem?,Leonard,8
29843,The welcoming party,,Oh sweet Krishna shake it that-a rupee maker.,Howard,1
29844,The apartment,,Oh. Uh I need to keep my anxiety at the right level so I’m using Darth Vader the Joker and Godzilla’s roar to keep me in that sweet spot. Uh I tried including Taylor Swift in the mix but turns out I love her.,Sheldon,8
29845,The apartment,,That is a snowy tree cricket. Oecanthus fultoni. I was done with Latin by fifth grade.,Sheldon,3
29846,The laundry room,,No.,Penny,2
29847,The comic book store,,I did do that. I can be insensitive to other people’s boundaries. Howard would you write that down?,Howard,10
29848,Penny’s apartment,,All right my advice to you is do it at her place so you can leave when you need to uh tell the truth make it quick and be prepared for tears.,Penny,9
29849,The bowling alley,,Uh-oh. She wants to meet us.,Howard,3
29850,The apartment,,I’m fine with that.,Sheldon,9
29851,The waiting room,,Oh yay I have a doctorate in astrophysics and I’m every bit as awesome as the pasty-faced owner of a comic book store.,Raj,10
29852,Howard and Bernadette’s kitchen,,Okay that’s the one to beat.,Penny,10
29853,The apartment kitchen,,That’s very unlikely Mrs. Koothrappali. If Raj dies it’ll be from frostbite gangrene acute sunburn or being ripped to shreds by a fifteen hundred pound polar bear.,Sheldon,2
29854,Sheldon and Leonard’s flat," Sheldon, Raj and Howard are playing Jenga,",Sorry papa.,Howard,1
29855,The apartment,,So what are some ways we could set our comic book store apart from the competition?,Sheldon,8
29856,The apartment,,Thank you so much for helping us Stuart.,Penny,9
29857,The apartment,,Come on Sheldon Star Wars.,Raj,5
29858,Sheldon and Amy’s apartment,,You know I wonder how she feels about all this artwork.,Sheldon,10
29859,Sheldon’s bedroom," Sheldon is packing,",They call themselves Bozites?,Leonard,3
29860,The living room of the apartment," Leonard and Sheldon are playing the three dimensional chess game from the original Star Trek series, It is Leonard’s move, He takes his time, moving round the board and checking things from various angles, Finally he tentatively makes a move, Sheldon moves almost immediately,",Here we go.,Leonard,1
29861,The stairwell,,You don’t get a hey. You get a hmm.,Sheldon,7
29862,The clean room,,Actually.,Raj,8
29863,The apartment,,Amy. Oh why didn’t I give her Sleepy Time tea? Amy wait. Getting a turtle meant a great deal to me too.,Sheldon,8
29864,An electrical store,,You know I only have one slot available in my entertainment centre.,Sheldon,7
29865,Outside Penny’s old apartment building,,What do you think their combined IQ is?,Sheldon,1
29866,The lobby,,And what is that supposed to mean?,Sheldon,10
29867,Mrs Wolowitz’s house,,It’s my father you jerks. Hello Daddy.,Howard,8
29868,A limo,,You guys suck.,Howard,8
29869,The restaurant,,Your warm and fun-loving nature delights those around you.,Sheldon,7
29870,Howard and Bernadette’s apartment,,I don’t know. They’re dressed very stylishly. They’re probably stuck-up. This is ridiculous. The next person that walks by no matter who it is they’re the one. We’re gonna die here.,Howard,7
29871,Penny’s apartment door,,No. Clearly another woman in dire need of ice cream.,Sheldon,3
29872,The apartment,,H-h-h-how did we get on me we were mocking Leonard for not moving on. Dude you have totally not moved on.,Raj,2
29873,Howard’s mother’s house,,What?,Raj,7
29874,A corridor at the University,,,Howard,1
29875,The apartment,,How would you feel if I contacted your mother behind your back?,Sheldon,10
29876,Penny’s apartment door," Sheldon knocks three times,",I am not trying to get her back. But out of curiosity what is a way?,Sheldon,5
29877,The lab,,You want to bet? Oh great now I’m addicted to gambling.,Sheldon,10
29878,Howard and Bernadette’s house,,,Howard,8
29879,The cafeteria,,Okay um It was a card for your 18th birthday. Inside it said Happy birthday Howard. I love you. Dad. Oh and it was a Far Side card the one where the frog has its tongue stuck to the underside of an airplane. Thinks it’s a fly. Silly frog. So funny.,Howard,6
29880,The stairwell,,Well Sheldon when you’re kissing a girl she expects the attention to be on her.,Penny,8
29881,A clothes shop,,I’ll look them up. Son of a biscuit.,Sheldon,8
29882,The apartment,,Why don’t you ask her?,Sheldon,7
29883,Penny," Sheldon, Raj and Leonard stand in the apartment doorway, Romantic music plays from Penny’s apartment door,",Why? Oh Penny Penny Penny.,Sheldon,1
29884,The comic book store,,There’s more to life than sex Raj.,Leonard,3
29885,The closet,,,Howard,6
29886,The apartment,,Are you ashamed of me?,Leonard,4
29887,The cafeteria,,Dr. Nowitzki. Good to see you.,Raj,10
29888,The apartment,,You crimson coward! Oh Leonard wake up you’re missing some very excellent superhero quips.,Howard,4
29889,Penny’s apartment,,Yes. I’ll check flights.,Penny,8
29890,The flat," Leonard is entering, singing to himself a depressing emo song,",No. No now that was not my point. My point was don’t buy a cat.,Sheldon,1
29891,Howard and Bernadette’s kitchen,,Hold on. Yeah that’s funny.,Raj,10
29892,The apartment,,Why are you carrying extras?,Leonard,3
29893,The same," later,",All the time.,Sheldon,8
29894,The bar,,Even drunk he’s still smarter than all of us.,Raj,9
29895,Amy’s laboratory,,You think you’re doing science by cutting up that brain? They could do the same thing at any Quiznos. And they’d offer to toast it for me too.,Sheldon,5
29896,The apartment," Leonard opens the door, Ramona and Penny are outside,",And a large number of people will believe it never happened.,Howard,2
29897,The cafeteria,,It means I like women as well as their skincare products.,Howard,5
29898,The apartment,,Okay let’s take a break.,Penny,7
29899,The apartment,,You’re really a broken toy aren’t you?,Penny,4
29900,The laundry room,,Good good. And then what?,Penny,2
29901,Leonard’s bedroom,,Last night me wanting to try that stuff out of the Kama Sutra was that fun for you or kinda racially insensitive?,Leonard,4
29902,The apartment," Sheldon is adjusting a device on his arm,",On your way home will you pick up some orange juice?,Sheldon,5
29903,The apartment,,Bruce Wayne doesn’t make his roommate tie it for him.,Leonard,8
29904,Penny’s apartment,,Come on Amy let’s go drink wine and talk about what jerks our boyfriends are.,Penny,6
29905,The apartment,,Yeah no I do I use those… uh… just to polish up my… spear-fishing equipment. I spear fish. When I’m not crossbow hunting I spear fish. Uh Penny this is Sheldon’s twin sister Missy. Missy this is our neighbour Penny.,Leonard,1
29906,Penny’s apartment,,And I’m gonna hit the head. That’s what us salty sea dogs say when we have to go pee-pee.,Leonard,7
29907,The apartment," Sheldon is in the kitchen cooking, Leonard enters,",I’m not just fixing my eggs I’m fixing everyone’s eggs.,Sheldon,1
29908,Howard and Bernadette’s house,,Hey Claire.,Howard,9
29909,The apartment,,Yes. And make her wear the black wig. Good luck.,Sheldon,4
29910,The apartment,,Comments from our Behind the Flags retrospective. Get this people are calling it the longest one yet.,Sheldon,10
29911,Penny’s apartment," Penny is making a barette, Sheldon is timing her,",Oh God no no. Just please tell me what to do about it.,Penny,2
29912,The apartment,,No.,Leonard,7
29913,Howard’s bedroom,,It’s a potty. What do you call it?,Howard,4
29914,The apartment,,Oh yes. I just discovered I don’t have enough room on my hard drive for a Linux partition so you and I are going to perform a full backup reinitialize and then reinstall all my operating systems.,Sheldon,3
29915,The apartment,,I’m very happy for you.,Leonard,10
29916,The apartment,,Sure.,Leonard,2
29917,Sheldon and Amy’s apartment,,That’s wrong.,Sheldon,10
29918,Sheldon’s bedroom," Sheldon is asleep, There is a knock on the door,",Leonard you may be right. It appears that Penny secretly wants you in her life in a very intimate and carnal fashion.,Sheldon,2
29919,The cabin,,Well she is taking me to an Indigo Girls concert so hold that thought.,Penny,9
29920,The apartment,,Ha-ha you have to go to a wedding.,Sheldon,5
29921,The University clean room,,Do you know what a disaster this is?,Leonard,8
29922,Howard and Bernadette’s kitchen,,Don’t come to the hospital. We’re headed home.,Howard,10
29923,The apartment,,It would? Fun? Okay three weeks ago you bought crunchy peanut butter now you want the girls to play D&D? Do you have a drug problem?,Sheldon,6
29924,The apartment," Howard is setting up a large kit of high tech equipment,",I like comic books.,Howard,2
29925,A graveyard,,So does enjoying a meal at a well-lit restaurant but here we are.,Raj,8
29926,The comic book store,,Once again defeated by your own prurient interests.,Sheldon,2
29927,The university cafeteria,,No. Despite what the name suggests the civet cat is not a true cat. Now I’m done.,Sheldon,2
29928,The apartment,,I’m sorry. You sent more than one letter about that?,Penny,3
29929,The stairwell,,You know just for fun let’s say I’m not.,Penny,5
29930,The bar,,,Howard,2
29931,Raj’s apartment,,You can dance to this. Um uh uh Thor and Dr. Jones. Thor and Dr. Jones. One plays with lightning the other plays with bones.,Raj,9
29932,The apartment," the guys are still searching for the cricket, They are inside the cupboard,",No I’m behind on my wiki-reading I’m kind of on a John Grisham kick right now.,Howard,3
29933,The lobby,,What?,Penny,3
29934,The apartment,,We’re not living together.,Leonard,2
29935,The Cheesecake Factory,,Relax it’s five o’clock. The movie doesn’t start till midnight.,Leonard,4
29936,The lobby," Sheldon is listening to an iPod,",Well choose.,Penny,1
29937,The apartment,,Chickens can’t climb trees,Raj,3
29938,The university cafeteria,,Well you really want to dot the I’s and cross the T’s don’t you?,Sheldon,4
29939,Penny’s apartment,,No Leonard this is my thing.,Penny,6
29940,The apartment,,Oh come on he’s a grown man he can take care of himself.,Penny,10
29941,The apartment,,Did you have a nice time?,Sheldon,9
29942,Penny’s apartment,,Really?,Leonard,3
29943,Penny’s apartment,,Really?,Leonard,6
29944,The Cheesecake Factory,,Now three times fast?,Howard,4
29945,Leonard’s bedroom," Sheldon enters in a hard hat and high-vis jacket, Sounds a klaxon on his phone,",And that’s why we wear hard hats.,Sheldon,5
29946,The funeral,,Hmm.,Leonard,7
29947,The Apartment,,Yeah we’re not like Haroun and Tanweer!,Leonard,1
29948,The Apartment,,No this is creepy.,Howard,6
29949,The stairwell,,,Howard,6
29950,Howard’s bedroom,,Fine. I’ll have a chocolate martini.,Howard,2
29951,Leonard’s bedroom,,Oh is it? We’re conversing. Checkmate.,Sheldon,3
29952,A dance video game where the characters are imperial stormtroopers from Star Wars and Bobba Fett," Opens onto the apartment where Howard and Raj are dancing to the game,",Paradigm-shifting news gentlemen. ,Sheldon,6
29953,The apartment,,Okay who gets the extra dumpling?,Raj,2
29954,The apartment,,Not height vision athleticism or ability to digest dairy products.,Sheldon,6
29955,The cafeteria,,Don’t try to change the subject. This is about a parking space. It has nothing to do with cars.,Sheldon,6
29956,The apartment,,Hey you ever imagine what that would be like? Not being born?,Penny,7
29957,A restaurant,,Leonard this is nice. I’m so glad we did this.,Penny,5
29958,The apartment,,Oh God. Stop. I don’t want you to read something you think’ll just butter me up. I want to hear the most recent thing you wrote.,Penny,9
29959,Rothman’s office," Sheldon has his head stuck in the hole in the wall,",What happened?,Leonard,5
29960,Leonard’s bedroom,,I tried in the seventh grade. I could never get used to them.,Leonard,4
29961,The living room,,Well first of all your lie was laughably transparent where mine is exquisitely convoluted. While you were sleeping I was weaving an un-unravelable web.,Sheldon,1
29962,The apartment,,Oh I know. We could be the first to plant a flag on Mars. We could be the first to watch Mars Attacks! on Mars. We could be the first to say good lord what on Mars are you talking about?,Sheldon,8
29963,The Cheesecake Factory,,Well uh there was a time when I had a thing for Penny and I thought she was into me too because she got drunk and naked and climbed into bed with me. But apparently I misread those signals.,Howard,6
29964,Sheldon and Amy’s apartment,,You’re right I am humiliated. Thanks for pointing it out. You’re such a jerk.,Raj,10
29965,A film set," Penny is being fitted with gorilla hands,",Great. Not like regret at all.,Penny,7
29966,Howard’s mother’s house,,I do but for some reason Emily loves it and wants to watch it with me tomorrow so I thought if I start with you first then I could act cool about it with her.,Raj,7
29967,The same," later,",Yep.,Sheldon,3
29968,Leonard’s lab,,It’s okay. I don’t mind hearing about your sex life. It’s his that bugs me.,Howard,3
29969,The apartment,,I wasn’t joking.,Raj,9
29970,The living room," Sheldon is surrounded by whiteboards,",Who’s Nowitzki?,Sheldon,2
29971,The apartment,,Well?,Sheldon,8
29972,The apartment,,I’m not really a part of this so I’m just gonna dig in.,Raj,10
29973,Sheldon and Amy’s bedroom,,I know our apartment’s small but I think we can make room.,Sheldon,10
29974,Penny’s apartment,,Yeah.,Penny,2
29975,The stairwell," approaching the apartment door, Leonard and Sheldon are pulling the time machine up the last part of the stairs,",Yeah okay neat but I really got to get to work so….,Penny,1
29976,The street,,No one was writing me back so I stopped checking my profile.,Raj,7
29977,Penny’s apartment,,Did he pay you back?,Leonard,2
29978,Howard and Bernadette’s bedroom,,You coming?,Howard,10
29979,Sheldon and Amy’s apartment,,It’s cute they’re having fun living together.,Leonard,10
29980,Leonard’s car,,I’m sold you’re ahead of Bale.,Leonard,9
29981,Outside Penny’s door,,Do you have any idea what time it is?,Penny,1
29982,Penny’s apartment,,This is great. It thank you it’s so much.,Leonard,7
29983,Leonard’s car,,Of course.,Leonard,9
29984,A hospital room," The guys except for Sheldon are in Hazmat suits,",Hell Hounds.,Leonard,4
29985,Sheldon and Amy’s apartment,,Here you go.,Sheldon,10
29986,A gift shop,,I don’t see anything in here a woman would want.,Sheldon,2
29987,Leonard’s laboratory,,Mr. Nye hello. I’m sorry he got you involved in this nonsense.,Leonard,7
29988,Howard and Bernadette’s apartment,,,Howard,6
29989,The cafeteria,,As your friend let’s hope it doesn’t come to that. Please sign.,Sheldon,4
29990,Raj’s apartment,,You’re you’re a good friend for trying to help but I’ve made my choice.,Raj,6
29991,The apartment,,Hi. There’s the little family!,Penny,10
29992,Penny’s bedroom,,Do any of them work?,Penny,3
29993,The cafeteria,,Hey we’re all having dinner tonight. Why don’t the two of you join us?,Leonard,10
29994,The cafeteria,,Do you hear how homophobic you sound?,Howard,5
29995,The Wedding Chapel,,I love you too.,Penny,9
29996,The comic book store,,Rabbits do have a respiratory system that would support great size. And on a side note they are one of the few mammals whose scrotum is in front of the penis.,Sheldon,3
29997,Penny’s apartment," Penny has a bottle of wine, She can’t find a glass, Finds a measuring jug and uses that instead, There is a knock on the door,",I’m… I’m sorry. What does this have to do with me?,Penny,5
29998,Howard’s bedroom," Howard is in bed, Sheldon is on a blow up mattress on the floor,",Now only if you want to.,Sheldon,2
29999,A street,,What about the girls?,Leonard,9
30000,The apartment,,You sure I can’t get you that cup of tea?,Sheldon,5
30001,The Apartment,,Excuse me hello? My parents are trying to marry me off to a total stranger what am I going to do?,Raj,1
30002,Penny’s apartment,, Amy.,Sheldon,9
30003,The apartment," Sheldon is at his laptop,",Ah memory impairment the free prize at the bottom of every vodka bottle.,Sheldon,4
30004,Amy’s apartment,,Oh you said it.,Sheldon,8
30005,The apartment," Penny and Sheldon are doing yoga,",Oh so now I need your permission? Would you have asked me before you quit your job?,Penny,7
30006,Penny’s apartment,,It’s just this vibe I got.,Penny,8
30007,The apartment,,Okay look how about this? Just give him my paper on the Higgs boson. If he sees the incredible breakthrough I’ve made he’ll reach out to me.,Sheldon,5
30008,The apartment,,Oh your yelling must have freaked him out again.,Penny,3
30009,The apartment,,Essentially yes.,Sheldon,4
30010,Raj’s apartment,,Why would it be too big a step?,Raj,9
30011,The stairwell," Leonard is carrying a large box,",Who’s Adam West?,Penny,3
30012,The cafeteria,,I can’t believe I have to waste my time babysitting a bunch of grad students who probably think dark matter is what’s in their diapers.,Sheldon,8
30013,A gymnasium,,Why not?,Howard,8
30014,Amy’s apartment,,Amy what do you think?,Sheldon,5
30015,Howard and Bernadette’s kitchen,,Okay and tree pose.,Howard,10
30016,The apartment,,I’ll I’ll call for help.,Leonard,6
30017,The stairwell,,I just wanted to do something beautiful.,Raj,7
30018,A Chinese restaurant,,Oh is it? Look at this. General Tso’s Chicken is no longer listed under specialties. It’s now under chicken.,Sheldon,3
30019,Sheldon’s mother’s house,,Just fine? Oh dude the fourth Harry Potter movie was just fine.,Howard,3
30020,Penny’s apartment," There is a knock,",The problem is I want to be one of those guys.,Leonard,5
30021,The apartment,,,Howard,5
30022,The apartment,,It’s all right.,Sheldon,10
30023,The apartment,,Hello. I’m Doctor Sheldon Cooper and welcome to Sheldon Cooper presents Fun with Flags the final episode flagtacular. I knew it was coming. Still scary. Now I’m sure you’re thinking the final episode? Who will stand between us and flag ignorance?,Sheldon,8
30024,A bar,,Okay an eight is acceptable if she’s willing to bring another eight to the hot tub.,Raj,6
30025,The parking garage,,Anyway if you could just give us our money back you can have your helium and we’ll be on our way.,Sheldon,9
30026,Later,,Thank you.,Sheldon,9
30027,Sheldon’s office,,Sheldon for God’s sakes don’t make me beg.,Raj,3
30028,Howard and Bernadette’s kitchen,,Good point. And you are?,Howard,10
30029,Leonard’s car,,Oh there’s a screening of Moulin Rouge I heard the crowd sings along and stuff.,Penny,9
30030,The apartment kitchen,,Of course.,Raj,6
30031,The apartment,,Last one.,Sheldon,4
30032,A restaurant,,Hey here’s another possible topic of conversation. This is a big night for Sheldon. Right Sheldon?,Penny,4
30033,The apartment," Leonard is sneaking back in,",Yeah well so was I.,Leonard,5
30034,The cafeteria,,Uh so forgive me forgive me for being nosy but is is there a wedding ring under those pretty rubber gloves?,Howard,10
30035,The apartment,,Yes.,Sheldon,5
30036,The apartment,,,Howard,6
30037,The apartment,,Okay I’m sorry I don’t understand.,Penny,5
30038,The apartment,,Hey how are things going with your parents?,Penny,8
30039,Howard and Raj sneak up the stairwell carrying presents," Howard knocks on Penny’s door, a combination of two knocks, two knocks, one knock, Nothing happens, He tries again, Sheldon opens the door,",,Howard,1
30040,Raj’s office,,You! Always bet on black.,Howard,6
30041,Amy’s bedroom,,Hello.,Sheldon,9
30042,Outside in stairwell,,So who exactly does it want to kill?,Penny,2
30043,Penny’s apartment door,,When are you going to talk to him?,Sheldon,3
30044,The living room,,Dibs doesn’t apply in a bidding war.,Sheldon,1
30045,The apartment,,Of course you do.,Leonard,10
30046,The apartment,,Yeah get it girl.,Penny,10
30047,Dr Lorvis’ basement,,Oh if you want to get in on the pool you’re too late. All the squares have been purchased.,Sheldon,8
30048,The apartment,,Oh Amy. And you wonder why people think neuroscience is nothing but a goofy game for diaper babies. Tic-tac-toe can only end in win lose or draw none of which will deny me closure. Especially since I’m about to win.  B-But we didn’t finish.,Sheldon,6
30049,The apartment," Leonard is sneaking back in,",Yes.,Leonard,5
30050,The apartment," Sheldon is on the phone,",A margarita? Where are we? What is happening?,Sheldon,4
30051,Howard’s workshop,,No.,Howard,9
30052,Sheldon and Amy’s apartment,,Come on Sheldon. You can’t turn your back on physics and besides you have no idea what you’re doing with this stuff.,Leonard,10
30053,The train station,,So a few things don’t go your way and your best decision is to ride the rails like a hobo?,Leonard,7
30054,Raj’s office,,I think over time they started to resent each other and instead of talking about the things that bothered them they kept it bottled up and the hate just grew.,Raj,8
30055,The apartment,,This is an Euler’s Disk. It’s a physics toy that demonstrates angular momentum potential energy and kinetic energy.,Leonard,10
30056,The apartment,,Sorry they’re both married.,Penny,7
30057,The apartment," Sheldon is on his laptop,",No. But it’s a shame our society mocks the differently uvulated. Who was at the door?,Sheldon,4
30058,Outside Raj’s apartment,,Don’t look under that rock.  Raj you okay?,Leonard,6
30059,Howard and Bernadette’s house,,Well it’s easy to find out. Just go into the crawlspace under the house and check.,Howard,9
30060,Penny’s apartment,,Oh. That’s so sweet of you.,Penny,9
30061,A bar,,I didn’t know you could drink while you’re breastfeeding.,Penny,10
30062,Penny’s bedroom," Sheldon is standing over Penny’s bed, knocking on the wall,",How did you even get in you weirdo?,Penny,6
30063,Sheldon and Amy’s bedroom,,That’s reserved for thoughts I don’t share with anyone.,Sheldon,10
30064,The laboratory,,Fine. Candy bars. Now do you enjoy a fun size? I know you do.,Sheldon,10
30065,Bernadette’s apartment," Howard knocks on door,",I’m taking a stroll and I’m sporting wood.,Howard,4
30066,Penny’s apartment,,You know just once I would like to go out with someone who is nice and honest and who actually cares about me.,Penny,1
30067,Cutting between the International Space Station and the apartment ,,,Sheldon,6
30068,Penny’s apartment,,No it’s the accepted convention. How was your day?,Sheldon,2
30069,An office in Skywalker Ranch,,Oh shut up.,Leonard,8
30070,The delivery suite,,For God’s sake just drive in the knife why don’t you.,Howard,10
30071,The cafeteria,,Two words 3-D printer. Wait maybe it’s three words. No hang on. Okay one word a letter and a number and maybe a hyphen. 3-D printer.,Howard,6
30072,The apartment,,Three words Doctor Who convention.,Penny,8
30073,Raj’s Apartment," Leonard knocks on the door,",I know. Last time I came on too strong. Can we talk in private?,Leonard,4
30074,Alicia’s apartment,,,Howard,2
30075,The stairwell,,Obviously I have some commitment issues.,Penny,6
30076,Leonard is presenting,,Then I’ll settle for an aneurysm.,Sheldon,1
30077,Entering the lobby of the building,,Okay whatever. It’s not like I’m running up and down the streets just buying myself berets. I bought one like a month ago and it was back-ordered look it finally arrived all right?,Penny,2
30078,Amy’s lab," Amy is dissecting a brain,",Well look we just wanted to apologize for not bringing you with us the other day.,Penny,5
30079,The stairwell,,No it’s the movie your wife doesn’t want you to see.,Penny,3
30080,The lab,,Gentlemen I am ready to work. To quote The Martian let’s science the faeces out of this. That’s The Martian the book and The Martian the movie not Marvin the Martian. Although to quote Marvin the Martian I claim this planet in the name of Mars.,Sheldon,10
30081,The apartment,,What about Nebraska?,Sheldon,5
30082,The apartment,,They took my battle ostrich.,Sheldon,4
30083,A corridor in the basement," Sheldon takes out a key, unlocks a door and enters,",He is kind of a weirdo. Maybe he’s got Leonard Nimoy chained up in there. Or Bill Gates. Or Stephen Hawking.,Raj,6
30084,The stairs of the apartment building,,Bye.,Leonard,1
30085,The apartment,,You didn’t even let me finish.,Sheldon,8
30086,The apartment,,Hope you’re hungry.,Leonard,4
30087,The apartment," Sheldon is alone,",Relax we’re not under attack right now.,Sheldon,4
30088,The apartment," Penny and Sheldon are doing yoga,",Okay if you support me what was with that phone call?,Penny,7
30089,Penny’s car,,Uh not everything just like the jail and drugs part.,Penny,10
30090,The cafeteria,,Gentlemen. Uh no doubt you heard about my little breakthrough. Now if your plan is to hoist me on your shoulders and carry me around the cafeteria please refrain. I don’t care for heights motion sickness or the thought of your necks touching my buttocks.,Sheldon,7
30091,A furniture store,,You make a lot of sense. I like this table and I’m getting it.,Leonard,7
30092,Howard and Bernadette’s apartment,,Okay I’ll start heating some of this stuff up.,Howard,8
30093,The stairwell,,I’m so sorry. I know it’s a sensitive subject but can you reconsider that part in the movie?,Leonard,7
30094,The apartment,,I never did get that chicken noodle did I?,Sheldon,9
30095,Leonard’s bedroom," Leonard is asleep,",We had dinner last night. She made me spaghetti with little hot dogs cut up in it. Well little hot dog. I gave up the other five hot dogs to a real dog. A real big dog. A hell hound. Tangential to the primary story. How about I circle back to it?,Sheldon,3
30096,Penny’s apartment,,Ugh that sounds like a lot of work.,Penny,6
30097,The North Pole,,What are we having?,Sheldon,2
30098,The lobby,,No no that’s the past. I’m really more of a right now kind of guy. You know living in the moment. Although I do have to live a little in the future ’cause well that’s my job. Of course my fondness for classic science fiction does draw my attention backwards but those stories often take place in the future. In conclusion no it doesn’t bother me.,Leonard,2
30099,The apartment,,What kind of world do we live in where a man would take another man’s battle ostrich?,Sheldon,4
30100,The goth club,,Raj.,Raj,3
30101,The apartment," A robotic arm is extracting some Chinese takeaway from a bag controlled by Howard,",A-All right um how about this. When when Winnie the Pooh got his head stuck in the honey tree his friends all grabbed onto him and pulled and pulled.,Howard,4
30102,Penny’s apartment,,No hurry.,Leonard,4
30103,The same," shortly after,",I can’t believe we wasted all that time on our Hulk costumes.,Sheldon,7
30104,Leonard’s car,,Let’s see. What’s young and fun? Uh we could go dancing.,Leonard,9
